age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
30,1.0,0,3.0,1,1130,2,1,0.0,14,5,138,3,-1,0,0.0,1
53,4.0,1,2.0,1,-71,2,1,1.0,6,5,91,3,-1,0,0.0,1
33,1.0,0,3.0,1,-2,1,2,1.0,25,8,147,6,-1,0,0.0,1
38,2.0,1,2.0,1,61,2,1,0.0,28,5,97,1,-1,0,0.0,1
51,4.0,1,1.0,1,480,2,1,1.0,12,5,189,1,326,5,1.0,1
59,10.0,1,1.0,1,96,1,1,1.0,6,8,88,2,-1,0,0.0,1
45,2.0,1,2.0,1,366,1,2,1.0,3,2,235,2,169,12,1.0,1
46,4.0,1,2.0,1,6215,1,1,0.0,16,6,155,1,-1,0,0.0,1
47,8.0,1,2.0,1,0,1,1,1.0,29,8,90,6,-1,0,0.0,1
48,1.0,1,3.0,1,4852,1,1,1.0,26,8,41,11,-1,0,0.0,1
53,6.0,0,2.0,1,545,2,1,1.0,12,5,305,1,370,1,1.0,1
37,2.0,1,2.0,1,430,1,1,1.0,27,8,154,4,-1,0,0.0,1
56,7.0,1,2.0,1,4763,2,1,2.0,28,7,106,6,-1,0,0.0,1
35,7.0,1,3.0,1,260,2,1,1.0,11,7,134,2,-1,0,0.0,1
59,1.0,1,1.0,1,396,2,1,0.0,2,6,72,3,-1,0,0.0,1
77,5.0,1,2.0,1,1208,1,1,2.0,28,4,72,4,-1,0,0.0,1
42,6.0,1,2.0,1,3842,1,1,1.0,31,7,130,4,-1,0,0.0,1
39,4.0,1,1.0,1,295,2,1,0.0,4,6,38,1,-1,0,0.0,1
54,1.0,1,3.0,1,284,2,2,2.0,15,5,65,5,-1,0,0.0,1
32,1.0,0,3.0,1,3886,2,2,0.0,29,5,151,7,-1,0,0.0,1
46,1.0,1,3.0,1,625,2,1,0.0,6,6,127,1,-1,0,0.0,1
62,2.0,1,2.0,1,135,2,1,2.0,16,11,446,13,96,1,2.0,1
31,4.0,1,2.0,1,-112,1,2,1.0,15,7,128,1,-1,0,0.0,1
50,4.0,1,1.0,1,5776,1,1,1.0,18,11,49,3,-1,0,0.0,1
36,2.0,1,2.0,1,186,2,1,1.0,12,5,187,3,-1,0,0.0,1
38,4.0,1,2.0,1,213,2,1,0.0,16,6,270,15,-1,0,0.0,1
41,1.0,1,3.0,1,371,2,1,1.0,28,7,81,8,-1,0,0.0,1
55,8.0,1,2.0,1,-196,2,1,0.0,20,5,210,2,-1,0,0.0,1
35,9.0,0,2.0,1,0,1,1,1.0,30,7,740,3,-1,0,0.0,1
36,4.0,0,2.0,1,3111,2,1,0.0,20,5,445,2,-1,0,0.0,1
43,4.0,1,0.0,1,1123,2,1,1.0,16,4,191,2,322,3,1.0,1
54,3.0,1,2.0,1,52,2,1,0.0,15,5,44,3,-1,0,0.0,1
48,4.0,1,1.0,1,363,2,1,0.0,18,6,257,6,-1,0,0.0,1
49,2.0,2,2.0,2,-757,2,2,0.0,2,6,68,1,-1,0,0.0,1
28,6.0,1,2.0,1,897,1,1,1.0,17,3,395,1,285,1,3.0,1
26,10.0,1,1.0,1,158,1,2,1.0,8,7,416,4,-1,0,0.0,1
42,8.0,0,3.0,1,1225,1,1,1.0,18,8,104,3,-1,0,0.0,1
35,1.0,0,3.0,1,385,2,1,1.0,29,8,168,2,-1,0,0.0,1
34,6.0,0,2.0,1,0,2,1,1.0,17,11,214,1,174,2,1.0,1
30,2.0,0,2.0,1,790,1,1,1.0,20,8,696,3,-1,0,0.0,1
42,6.0,1,0.0,1,756,1,1,1.0,7,5,116,3,-1,0,0.0,1
40,2.0,0,2.0,1,360,2,1,0.0,9,5,73,1,-1,0,0.0,1
30,1.0,2,3.0,2,-1105,2,1,1.0,11,5,686,1,-1,0,0.0,1
47,4.0,1,1.0,1,2,2,2,1.0,20,11,661,4,190,1,1.0,1
48,3.0,1,3.0,1,354,2,1,1.0,9,2,37,4,-1,0,0.0,1
56,8.0,1,1.0,1,-34,2,2,0.0,5,5,212,2,-1,0,0.0,1
35,2.0,0,3.0,1,33,1,1,1.0,29,8,300,2,-1,0,0.0,1
41,4.0,1,2.0,1,59,2,1,0.0,15,5,75,8,-1,0,0.0,1
45,4.0,1,0.0,1,-320,2,1,0.0,28,5,204,3,-1,0,0.0,1
52,1.0,0,3.0,1,5728,2,1,1.0,21,11,79,3,-1,0,0.0,1
49,10.0,1,2.0,1,3570,1,1,1.0,24,12,62,3,202,2,1.0,1
67,5.0,1,0.0,1,696,1,1,2.0,4,5,77,2,-1,0,0.0,1
36,2.0,0,2.0,1,265,2,2,1.0,2,2,88,1,273,1,1.0,1
44,3.0,1,3.0,1,31,1,1,0.0,9,6,467,1,-1,0,0.0,1
34,6.0,0,2.0,1,1,2,1,1.0,9,2,185,7,280,1,2.0,1
53,1.0,1,3.0,1,0,2,1,1.0,9,7,296,1,-1,0,0.0,1
49,6.0,0,1.0,1,655,2,1,1.0,13,5,32,5,-1,0,0.0,1
34,2.0,0,2.0,1,52,1,1,1.0,19,8,90,4,-1,0,0.0,1
39,4.0,1,1.0,1,3503,1,1,0.0,5,6,89,1,-1,0,0.0,1
43,7.0,2,2.0,1,207,2,1,0.0,16,5,132,1,-1,0,0.0,1
40,1.0,2,2.0,1,-626,2,1,1.0,7,7,140,4,-1,0,0.0,1
31,2.0,2,2.0,1,202,2,1,1.0,18,7,146,1,-1,0,0.0,1
53,4.0,1,1.0,1,0,1,1,1.0,7,7,114,1,-1,0,0.0,1
52,6.0,1,2.0,1,423,2,2,1.0,20,10,139,2,96,7,1.0,1
59,9.0,2,2.0,1,7469,1,1,1.0,22,2,287,1,130,1,1.0,1
47,10.0,0,1.0,1,46,1,1,1.0,4,2,371,1,-1,0,0.0,1
53,4.0,0,1.0,1,210,2,1,1.0,15,5,984,1,368,1,1.0,1
42,4.0,1,2.0,1,4,2,2,0.0,2,6,229,8,-1,0,0.0,1
29,7.0,0,2.0,1,-32,1,2,1.0,8,7,510,1,-1,0,0.0,1
51,1.0,0,0.0,1,-461,2,1,0.0,28,5,33,2,-1,0,0.0,1
43,2.0,1,2.0,1,0,1,1,1.0,19,8,313,3,-1,0,0.0,1
57,2.0,1,3.0,1,27069,1,2,0.0,20,6,174,3,-1,0,0.0,1
56,3.0,1,3.0,1,16125,1,1,2.0,21,11,167,1,-1,0,0.0,1
35,4.0,0,2.0,1,507,1,1,0.0,17,6,43,6,-1,0,0.0,1
56,4.0,2,1.0,1,12,1,1,1.0,8,7,226,1,-1,0,0.0,1
31,2.0,0,3.0,1,36,1,1,1.0,12,8,111,3,-1,0,0.0,1
60,1.0,1,1.0,1,92,1,1,2.0,2,2,447,1,-1,0,0.0,1
29,1.0,0,3.0,1,5894,2,1,0.0,16,6,223,2,-1,0,0.0,1
33,2.0,2,2.0,2,10,2,2,1.0,18,11,167,5,-1,0,0.0,1
54,4.0,1,2.0,1,1223,2,1,1.0,7,5,369,1,-1,0,0.0,1
26,4.0,1,1.0,1,500,2,1,0.0,15,5,21,6,-1,0,0.0,1
42,2.0,1,3.0,1,246,2,1,2.0,12,5,360,2,-1,0,0.0,1
53,6.0,1,3.0,1,5094,1,1,1.0,5,8,114,1,-1,0,0.0,1
36,7.0,0,2.0,1,80,1,2,1.0,17,7,258,1,-1,0,0.0,1
40,8.0,1,2.0,1,0,1,1,1.0,22,8,55,6,-1,0,0.0,1
42,2.0,0,2.0,1,77,1,2,1.0,7,8,152,2,-1,0,0.0,1
52,8.0,1,2.0,1,213,2,1,1.0,14,5,164,2,-1,0,0.0,1
44,7.0,2,2.0,1,1,2,1,0.0,6,5,235,4,-1,0,0.0,1
48,1.0,1,3.0,1,20718,2,1,0.0,14,5,125,1,-1,0,0.0,1
38,1.0,0,3.0,1,900,2,1,0.0,2,6,156,1,-1,0,0.0,1
32,4.0,1,2.0,1,5164,1,1,1.0,21,11,253,1,-1,0,0.0,1
39,2.0,1,2.0,1,6,2,1,1.0,18,5,122,3,357,4,1.0,1
35,2.0,0,3.0,1,817,2,1,1.0,21,11,12,5,-1,0,0.0,1
35,4.0,0,0.0,1,2298,1,1,1.0,31,7,92,4,-1,0,0.0,1
40,9.0,1,1.0,1,400,1,1,0.0,9,6,317,1,-1,0,0.0,1
25,1.0,0,3.0,1,0,1,2,1.0,18,7,342,1,-1,0,0.0,1
39,6.0,1,2.0,1,70,2,1,1.0,31,7,13,11,-1,0,0.0,1
45,1.0,1,3.0,1,80,1,2,1.0,19,11,157,1,-1,0,0.0,1
32,4.0,1,2.0,1,736,2,1,0.0,23,5,700,3,-1,0,0.0,1
52,2.0,1,0.0,1,9687,2,1,1.0,19,11,222,3,174,1,1.0,1
60,6.0,1,0.0,1,2667,2,1,0.0,15,5,140,1,-1,0,0.0,1
58,5.0,1,1.0,1,69,1,1,1.0,29,8,76,8,-1,0,0.0,1
38,2.0,0,3.0,1,69,2,1,1.0,13,5,253,3,-1,0,0.0,1
31,6.0,0,2.0,1,523,1,2,1.0,16,10,141,1,126,4,1.0,1
32,7.0,1,2.0,1,268,1,1,1.0,29,1,140,1,-1,0,0.0,1
38,2.0,1,2.0,1,0,2,2,1.0,7,7,500,5,-1,0,0.0,1
32,2.0,0,3.0,1,881,1,1,1.0,8,8,79,1,-1,0,0.0,1
55,5.0,1,2.0,1,0,1,1,1.0,29,1,636,1,-1,0,0.0,1
46,1.0,1,2.0,2,-333,1,2,1.0,30,7,597,2,-1,0,0.0,1
50,1.0,1,3.0,1,0,1,1,0.0,11,6,916,1,-1,0,0.0,1
25,2.0,0,2.0,1,173,2,1,1.0,15,5,186,2,-1,0,0.0,1
50,7.0,1,2.0,1,1134,1,1,0.0,18,6,53,2,-1,0,0.0,1
58,10.0,1,1.0,1,260,2,1,2.0,15,5,71,5,364,3,1.0,1
37,4.0,1,1.0,1,213,1,2,0.0,5,6,323,1,-1,0,0.0,1
29,6.0,1,2.0,1,-211,2,1,1.0,18,5,58,1,-1,0,0.0,1
40,2.0,1,2.0,1,500,2,1,1.0,17,7,175,3,-1,0,0.0,1
29,6.0,0,2.0,1,1992,1,1,1.0,12,4,119,2,-1,0,0.0,1
50,6.0,1,2.0,1,311,2,2,0.0,18,6,417,3,-1,0,0.0,1
31,1.0,1,3.0,1,4924,2,1,0.0,21,5,389,2,-1,0,0.0,1
53,5.0,1,3.0,1,1452,1,2,1.0,19,11,442,2,113,3,1.0,1
51,4.0,2,2.0,1,78,2,1,0.0,27,5,723,2,-1,0,0.0,1
40,2.0,0,2.0,1,2244,1,2,1.0,20,8,58,2,-1,0,0.0,1
44,1.0,1,3.0,1,-68,1,2,1.0,25,8,121,4,-1,0,0.0,1
57,2.0,1,0.0,1,2610,1,1,2.0,3,2,258,2,-1,0,0.0,1
40,1.0,2,3.0,1,492,1,2,1.0,7,7,125,2,-1,0,0.0,1
46,4.0,1,1.0,1,14,1,1,1.0,7,7,407,1,-1,0,0.0,1
40,7.0,1,1.0,1,170,2,2,1.0,8,5,361,3,-1,0,0.0,1
30,1.0,0,3.0,1,1636,1,1,0.0,6,6,301,2,-1,0,0.0,1
44,5.0,2,1.0,1,2083,2,1,0.0,28,5,124,1,-1,0,0.0,1
42,4.0,0,1.0,1,19,2,1,0.0,7,5,158,1,-1,0,0.0,1
29,3.0,0,2.0,1,404,1,1,1.0,30,1,413,3,-1,0,0.0,1
37,2.0,1,2.0,2,-886,2,1,0.0,26,5,224,1,-1,0,0.0,1
29,1.0,1,2.0,1,231,1,1,1.0,30,4,80,1,-1,0,0.0,1
37,3.0,1,3.0,2,-456,2,2,0.0,20,6,42,7,-1,0,0.0,1
52,7.0,1,2.0,1,-888,1,1,1.0,16,7,135,1,-1,0,0.0,1
50,1.0,2,3.0,1,30,1,1,1.0,20,8,76,2,-1,0,0.0,1
54,1.0,1,3.0,1,153,1,1,1.0,12,8,168,5,-1,0,0.0,1
54,9.0,0,3.0,1,252,2,1,1.0,21,7,101,1,-1,0,0.0,1
60,5.0,0,3.0,1,7440,2,1,0.0,15,5,92,3,-1,0,0.0,1
46,4.0,1,1.0,1,1666,2,1,0.0,9,6,94,13,-1,0,0.0,1
38,4.0,1,1.0,1,689,2,1,1.0,6,5,585,2,296,2,1.0,1
46,0.0,1,0.0,1,0,1,1,1.0,4,8,343,1,-1,0,0.0,1
35,6.0,0,2.0,1,10,1,2,1.0,12,5,357,1,175,4,1.0,1
37,6.0,1,2.0,1,281,2,1,0.0,16,5,279,2,-1,0,0.0,1
43,6.0,1,2.0,1,-169,2,1,1.0,24,4,219,1,-1,0,0.0,1
59,1.0,2,2.0,1,0,1,1,1.0,22,8,125,2,-1,0,0.0,1
30,1.0,0,3.0,1,2592,1,1,1.0,19,11,50,1,-1,0,0.0,1
51,4.0,1,2.0,1,0,2,1,0.0,5,5,173,2,-1,0,0.0,1
35,2.0,1,2.0,1,254,1,1,1.0,8,8,153,7,-1,0,0.0,1
46,2.0,1,3.0,1,2207,2,1,0.0,16,5,243,3,-1,0,0.0,1
41,6.0,1,2.0,1,683,1,2,1.0,20,11,77,1,-1,0,0.0,1
54,2.0,0,3.0,1,1433,2,2,0.0,18,6,18,20,-1,0,0.0,1
44,6.0,1,2.0,1,399,2,2,0.0,3,6,271,2,-1,0,0.0,1
33,1.0,1,3.0,1,1657,2,1,0.0,27,5,342,4,-1,0,0.0,1
58,4.0,1,2.0,1,0,1,1,1.0,18,8,27,17,-1,0,0.0,1
29,6.0,1,3.0,1,238,1,1,1.0,11,8,97,1,78,3,3.0,1
32,6.0,1,2.0,1,187,1,2,0.0,27,6,381,3,-1,0,0.0,1
48,2.0,1,2.0,1,-205,2,2,1.0,9,7,112,1,-1,0,0.0,1
36,4.0,2,2.0,1,421,2,1,1.0,15,5,34,7,360,4,2.0,1
37,2.0,1,2.0,1,1725,1,1,1.0,22,8,75,7,-1,0,0.0,1
37,1.0,1,3.0,1,257,1,1,0.0,20,9,11,1,-1,0,0.0,1
34,6.0,0,2.0,1,303,1,1,1.0,21,12,94,3,200,6,3.0,1
58,9.0,1,3.0,1,1798,2,1,1.0,5,2,19,8,-1,0,0.0,1
26,6.0,1,2.0,1,3160,2,1,0.0,27,5,154,1,-1,0,0.0,1
26,1.0,1,1.0,1,1349,2,1,0.0,9,5,275,1,-1,0,0.0,1
49,7.0,2,2.0,1,3649,2,2,0.0,15,5,150,1,-1,0,0.0,1
59,10.0,1,1.0,1,182,1,1,1.0,30,4,92,1,86,1,1.0,1
36,3.0,1,2.0,2,1,2,1,1.0,21,11,203,1,-1,0,0.0,1
37,1.0,0,3.0,1,131,1,1,2.0,14,8,293,2,-1,0,0.0,1
49,2.0,1,2.0,1,425,2,1,1.0,12,5,816,1,342,4,1.0,1
32,1.0,0,3.0,1,1831,2,1,1.0,20,4,86,2,-1,0,0.0,1
31,7.0,1,2.0,2,29,1,1,1.0,21,11,240,3,-1,0,0.0,1
32,4.0,1,1.0,1,1518,2,1,2.0,6,2,35,3,-1,0,0.0,1
